knowledge,raw_question,correct_answer,hallucinated_answer
"Morning glory (also written as morning-glory) is the common name for over 1,000 species of flowering plants in the family Convolvulaceae, whose current taxonomy and systematics are in flux.Sorbus is a genus of about 100–200 species of trees and shrubs in the rose family Rosaceae.",Morning glory and Sorbus are both a genus of plants? ,yes,"No, only Sorbus is a genus of plants."
"The Peace Palace Library is a collection of studies and references specializing in international law. It is located in The Hague, Netherlands, and was established to support the Permanent Court of Justice.The International Court of Justice (French: ""Cour internationale de justice"" ; commonly referred to as the World Court, ICJ or The Hague) is the primary judicial branch of the United Nations (UN).",Where is the Peace Palace Library located?,"It is located in The Hague, Netherlands, and was established to support the Permanent Court of Justice","The Peace Palace Library is actually located in Amsterdam, Netherlands, and supports the International Court of Justice."
"Trishna is a 2011 British-Swedish-Indian drama film, written and directed by Michael Winterbottom, and starring Freida Pinto and Riz Ahmed. She was born and raised in Mumbai, India, and decided when she was young that she would become an actress.",Where was the actress who starred in Trishna with Riz Ahmed born?,"Mumbai, India","Trishna actress was born in Delhi, India."
" The song features rapper Juvenile, who co-wrote the song with Lamarquis Jefferson, Johnta Austin, Craig Love and Lil Jon; the latter is also the producer.Jonathan Smith (born January 17, 1971), better known by his stage name Lil Jon, is an American rapper, record producer, and DJ.","The song ""Boom"" features an artist born on January 17, 1971 with what legal name?",Jonathan Smith,"The song ""Boom"" features the legal name Lil Jon, born on January 17, 1971."
Camassia is a genus of plants in the asparagus family native to Canada and the United States.Chelone is a genus of four species of perennial herbaceous plants native to eastern North America.,Are Camassia and Chelone both native to North America?,yes,"No, Camassia is native to Canada while Chelone is native to the United States."
"Doctor and the Medics are an English glam rock band formed in London in 1981. The group received their great success during the 1980s and are best known for their cover of Norman Greenbaum's ""Spirit in the Sky"", the group's hit single which reached No. 1 in the UK singles charts. The single became a gold record, selling two million copies from 1969 to 1970 and reached number three on the US ""Billboard"" Hot 100 chart (April 18, 1970), where it lasted for 15 weeks in the Top 100.",What type of band did a cover of a single that sold two million copies from 1969 to 1970?,English glam rock band,A 70s disco band.
"The University of West Florida, also known as West Florida and UWF, is a mid-sized public university located in Pensacola, Florida, United States.FH Joanneum is one of the largest Universities of Applied Sciences in Austria.",Are the University of West Florida and FH Joanneum both American Universities ?,no,"Yes, they are both American universities."
"King of the Dancehall is a 2016 American drama film directed by Nick Cannon.Nicholas Scott ""Nick"" Cannon (born October 8, 1980) is an American rapper, actor, comedian, director, screenwriter, film producer, entrepreneur, record producer, radio and television personality.",When was the director of King of the Dancehall born?,"October 8, 1980",The director of King of the Dancehall was born in 1980.
 The station is currently owned by First Family Broadcasting and broadcasts from its studios on the Lincoln Highway (County Highway 418) just east of Van Wert.The Lincoln Highway was one of the earliest transcontinental highways for automobiles across the United States of America.,WERT is a radio station that is broadcast from it studios on what transcontinental highway?,Lincoln Highway,WERT is a radio station that is broadcast from it studios on Route 66.
"""If My Friends Could See Me Now"", with music by Cy Coleman and lyrics by Dorothy Fields, is a song from the 1966 Broadway musical ""Sweet Charity"". In the musical the character of Charity, played in the original New York cast by Gwen Verdon, reflects on her marvellous luck as she spends time with Vittorio. In the 1969 film adaptation of ""Sweet Charity"", ""If My Friends Could See Me Now"" is performed by Shirley MacLaine. It was directed and choreographed for Broadway by Bob Fosse starring his wife and muse Gwen Verdon alongside John McMartin.","What is a song from the 1966 Broadway musical with music by Cy Coleman, lyrics by Dorothy Fields and book by Neil Simon directed and choreographed for Broadway by Bob Fosse starring his wife and muse Gwen Verdon alongside John McMartin, in which  the character of Charity reflects on her marvellous luck as she spends time with Vittorio ?",If My Friends Could See Me Now,Luck Be a Lady Tonight.
"The Kabalas were a four-piece band out of the Quad Cities area of the American Mid-West whose musical foundations were based firmly in a traditional Eastern European Klezmer style that mixed in Jewish folksongs, Israeli popular songs, Polka and popular music.The polka is originally a Czech dance and genre of dance music familiar throughout Europe and the Americas.","What type od dance music inspired the band, ""The Kabalas""?",Polka,The Kabalas were inspired by swinging jazz music.
"Plastic is a British-American action comedy-crime film directed by Julian Gilbey and co-written by Will Gilbey and Chris Howard. The film stars Ed Speleers, Will Poulter, Alfie Allen, Sebastian de Souza and Emma Rigby.Emma Catherine Rigby (born 26 September 1989) is an English actress. She is best known for playing the role of Hannah Ashworth in long-running soap opera ""Hollyoaks"", Gemma Roscoe in BBC One drama series ""Prisoners' Wives"" and as the Red Queen in American fantasy-drama ""Once Upon a Time in Wonderland.""",Plastic is a British-American action comedy-crime film starring an English actress best known for playing the role of Hannah Ashworth in what long-running soap opera?,Hollyoaks,Emma Rigby starred in Hollyoaks.
"Casado con hijos is a Chilean television series and remake of the American tv show ""Married... with Children"". It aired on May 2, 2006, and ended on October 15, 2008.Married... with Children is an American television sitcom that aired on Fox, created by Michael G. Moye and Ron Leavitt.","What show created by Michael G. Moye and Ron Leavitt aired on May 2, 2006 in Chile? ",Married... with Children,"Casado con hijos aired on May 2, 2006 in Chile."
"Seven Seas to Calais (Italian: Il dominatore dei sette mari) is a 1962 Italian adventure film by Eastmancolor in CinemaScope, directed by Rudolph Maté (his final film) and Primo Zeglio. The film depicts the career of Sir Francis Drake.Vice Admiral Sir Francis Drake (  1540  – 28 January 1596) was an English sea captain and privateer of the Elizabethan era.",In what year was the adventure film depicting the English sea captain and privateer of the Elizabethan era released?,1962,The Seven Seas to Calais was released in 1960.
The Littlest Outlaw is a live-action film produced by Walt Disney.The Jungle Book is a 1967 American animated musical adventure film produced by Walt Disney Productions.,What film company produced The Littlest Outlaw and The Jungle Book?,Walt Disney,The production company of The Littlest Outlaw and The Jungle Book is MGM.
"Westfield Culver City (also known as the Fox Hills Mall), is a shopping mall in Culver City, California, owned by the Westfield Group.Westfield Group was an Australian shopping centre company that existed from 1960 to 2014, when it split into two independent companies: Scentre Group, which now owns and operates the Australian and New Zealand Westfield shopping centre portfolio; and Westfield Corporation which owns and operates the UK, Europe and US portfolio.",Westfield Culver City is owned by what Australian shopping centre company that existed from 1960 to 2014,Westfield Group,The owner of Westfield Culver City is still unknown.
"Fetteresso Castle is a 14th-century towerhouse, rebuilt in 1761 as a Scottish gothic style Palladian manor, with clear evidence of prehistoric use of the site.Cowie Castle is a ruined fortress in Aberdeenshire, Scotland.",What country holds both Fetteresso Castle and Cowie Castle?,Scotland,Fetteresso Castle and Cowie Castle belong to the United Kingdom.
" The team was led by two-time Walter Camp Coach of the Year Award winner, Bob Stoops, in his 17th season as head coach. During the 2000 season, Stoops led the Sooners to an Orange Bowl victory and a national championship.",Who was the two time Walter Camp Coach of the Year winner who led the 2000 Oklahoma Sooners to an Orange Bowl victory? ,Bob Stoops,Don Stoops was the two-time coach.
" It is hosted by Brooke Burns, and features Mark Labbett (nicknamed ""The Beast"") as the ""chaser"". Burns began her television career in 1995, portraying the supporting character Peg, in the Spanish-American teen sitcom ""Out of the Blue"" (1995–96), appearing in all episodes but gaining little notoriety.",The Chase is hosted by an actress who began her television career in what Spanish-American teen sitcom?,"""Out of the Blue""","""The Chase"" is hosted by Brooke Burns, who gained little notoriety on ""Out of the Blue""."
"Robert ""Bob"" Scucci is the Director of Race and Sports for Boyd Gaming Corp. and was formerly the Assistant Race and Sports Book Manager at the Stardust Resort and Casino.The Stardust Resort and Casino was a casino resort located on 63 acres (25 ha) along the Las Vegas Strip in Winchester, Nevada.",Bob Scucci was the former Assistant Race and Sports Book Manager at what casino resort located on 63 acres along the Las Vegas Strip?,Stardust Resort and Casino,Bob Scucci used to work at the Mirage Hotel and Casino.
" Notre Dame was led by its first Walter Camp All-American, George Gipp, who died before the year was over.George Gipp (February 18, 1895 – December 14, 1920), nicknamed ""The Gipper"", was a college football player who played for the University of Notre Dame.","The 1920 NCAA football season had no clear-cut champion, with the ""Official NCAA Division I Football Records Book"" listing California, Georgia, Harvard, Notre Dame, and Princeton as national champions, Notre Dame was led by its first Walter Camp All-American, nicknamed ""The Gipper"", who died before the year was over, his name?",George Gipp,"The nickname of the first Walter Camp All-American who died during the 1920 NCAA football season was ""The Gipper."""
"Lee Jin-ki (born (1989--) 14, 1989 ), better known by his stage name Onew, is a South Korean singer and actor.Judith Mavis Durham (born Judith Mavis Cock; 3 July 1943) is an Australian singer and musician who became the lead singer for the Australian popular folk music group The Seekers in 1963.",Are Onew and Judith Durham both singers?,yes,"While Onew is a singer and actor, Judith Durham is both a singer and musician."
"""Duel at Sundown"" is a 1959 episode of the Western comedy television series ""Maverick"" starring 31-year-old James Garner and 29-year-old Clint Eastwood. He starred in several television series over more than five decades, including such popular roles as Bret Maverick in the 1950s western comedy series ""Maverick"" and Jim Rockford in ""The Rockford Files"", and played leading roles in more than 50 theatrical films, including ""The Great Escape"" (1963) with Steve McQueen, Paddy Chayefsky's ""The Americanization of Emily"" (1964), ""Grand Prix"" (1966), Blake Edwards' ""Victor/Victoria"" (1982), ""Murphy's Romance"" (1985), for which he received an Academy Award nomination, ""Space Cowboys"" (2000) with Clint Eastwood, and ""The Notebook"" (2004).","Who co- satrred with the actor who starred in several television series over more than five decades, including such popular roles as Bret Maverick in a 1959 episode of the Western comedy television series where A mean killer becomes jealous?",Clint Eastwood,The co-star was Steve McQueen.
" The film, marking the directorial debut of Tom Dey, was written by Alfred Gough and Miles Millar.Thomas Ridgeway ""Tom"" Dey (born April 14, 1965) is an American film director, screenwriter, and producer. His credits include ""Shanghai Noon"", ""Showtime"", ""Failure to Launch"", and ""Marmaduke"".","Shanghai Noon was the directorial debut of an American film director whose other credits include Showtime, Failure to Launch, and what other film?",Marmaduke,"The directorial debut of Tom Dey, Shanghai Noon is also known for Miles Millar and Alfred Gough as its writers, and Showtime and Failure to Launch as their other credits."
"Charles ""Chuckie"" Anthony Nicoletti (December 3, 1916 - March 29, 1977), also known as ""The Typewriter"" and ""Chuckie Typewriter"", was a top Chicago Outfit hitman under Outfit boss Sam Giancana before and after Giancana's rise and fall.Salvatore ""Mooney Sam"" Giancana (born Salvatore Giangana; June 15, 1908 – June 19, 1975), better known as Sam Giancana, was a Sicilian American mobster, notable for being boss of the Chicago Outfit from 1957–1966.","What Chicago gang were Charles ""Chuckie"" Anthony Nicoletti and Salvatore ""Mooney Sam"" Giancana, better known as Sam Giancana, apart of?",Outfit,"Charles ""Chuckie"" Anthony Nicoletti and Salvatore ""Mooney Sam"" Giancana were part of a vigilante group."
"Peter Thomas Ward (born July 26, 1937 in Montreal, Quebec) is a retired professional baseball player who played 9 seasons for the Baltimore Orioles, Chicago White Sox, and New York Yankees of Major League Baseball.The New York Yankees are an American professional baseball team based in the New York City borough of the Bronx. Frank Farrell and Bill Devery purchased the franchise (which had ceased operations) and moved it to New York City, renaming the club the New York Highlanders. The Highlanders were officially renamed the Yankees in 1913 .",Peter Thomas Ward played for a team that was offically renamed in what year?,1913,The team was renamed in 1912.
" The story was written by the five principal writers for the ""Superman"" titles at the time: Dan Jurgens, Karl Kesel, David Michelinie, Louise Simonson, and Roger Stern. He is known for creating the superhero Booster Gold, and for his lengthy runs on the Superman titles ""The Adventures of Superman"" and ""Superman"" (vol.",Which author of Superman: The Wedding Album is known for creating the superhero Booster Gold?,Dan Jurgens,"The creator of Booster Gold is Dan Jurgens, who was one of the five principal writers for the ""Superman"" titles at the time of the writing of Superman: The Wedding Album."
"John Tardy (born March 15, 1968) is an American vocalist best known for his work with the death metal band Obituary and Tardy Brothers.Thomas Andrew Barman, normally known as Tom Barman (born 1 January 1972), is a Belgian musician and film director.","Which musician was born first, John Tardy or Tom Barman?",John Tardy,Tom Barman was born first.
"The Wrekin is a hill in east Shropshire, England. It can be seen well into Staffordshire and the Black Country, and even as far as the Beetham Tower in Manchester, Winter Hill in Lancashire and Cleeve Hill in Gloucestershire.Beetham Tower (also known as the Hilton Tower) is a landmark 47-storey mixed use skyscraper in Manchester, England. At a height of 554 ft , it is the tallest building in the United Kingdom outside London and 10th tallest building in the United Kingdom.",The Wrekin is a hill that can be seen even as far as a landmark 47-storey mixed use skyscraper that is how tall?,554 ft,"You can see The Wrekin from Beetham Tower, which is quite tall."
"Party Never Ends is the third studio album recorded by Romanian singer Inna, released on 4 March 2013 by Roton. Born in Mangalia and raised in Neptun, she studied political science at Ovidius University before meeting Romanian trio Play & Win and pursuing a music career.",Party Never Ends is an album by the Romanian singer who studied at what college?,Ovidius University,Inna studied at Mangalia University.
"The Scarlet Letter (stylized The SCARlet Letter) is the fifth studio album by American recording artist Lil' Mo.Cynthia Karen Loving, (born November 19, 1978) best known by her stage name Lil' Mo, is an American R&B singer, radio personality, songwriter, and record producer. She debuted on the music scene as Missy Elliott's protégée and contributed guest vocals to some of Elliott's work, most notably the record-breaking ""Hot Boyz"".",Who is the artist of The Scarlet Letter and debdebuted on the music scene as Missy Elliott's protégée?,Cynthia Karen Loving,The artist of The Scarlet Letter and Missy Elliott's protégée is Lil' Kim.
" His only loss to date occurred on April 2, 2011 against WBO Cruiserweight champion Marco Huck.Muamer Hukić (born 11 November 1984), best known as Marco Huck, is a German professional boxer known for his aggressive style and punching power.","Ran Nakash, is an Israeli cruiserweight boxer, his only loss to date occurred on which date, against WBO Cruiserweight champion Marco Huck, a German professional boxer known for his aggressive style and punching power?","April 2, 2011","Ran Nakash only lost to Marco Huck on April 2, 2011, but he later defeated him."
"Don 2 is the soundtrack album composed by the trio Shankar-Ehsaan-Loy to the film of the same name directed by Farhan Akhtar starring Shahrukh Khan, Priyanka Chopra, Boman Irani, Om Puri, Lara Dutta and Kunal Kapoor. In 2016, the Government of India honoured her with the Padma Shri, the fourth highest civilian award, and ""Time"" magazine named her one of the 100 most influential people in the world.","Which star of Don 2 was named by ""Time"" magazine as one of the 100 most influential people in the world?",Priyanka Chopra,Shahrukh Khan
" Before then, he produced several demos in various musical genres in the late 1990s and early 2000s and his earliest official releases were underground deep, soulful house tracks for veteran DJ/Producer Julius Papp on Julius' NeoDisco label.Deep house is a subgenre of house music.","Morrisson Kaye also spelled as Morrisson K, formerly known as Morrisson, is an American singer, songwriter, producer and musician from the San Francisco Bay Area, his earliest official releases were underground tracks of which subgenre of house music, and originated in the 1980s, initially fusing elements of Chicago house with 1980s jazz-funk and touches of soul music?",Deep house,Morrisson K's earliest official releases were underground tracks of jazz-funk and soul music.
"Bellis is a genus of flowering plants in the sunflower family.Syzygium jambos is a tree originating in Southeast Asia and occurring widely elsewhere, having been introduced as an ornamental and fruit tree.",What type of organism can both Bellis and Syzygium jambos be described as?,plants,organisms that require sunlight
Pandit Kishan Maharaj (Hindi: किशन महाराज ) (3 September 1923 – 4 May 2008) was an Indian tabla player who belonged to the Benares gharana of Hindustani classical music.Benares gharānā is one of the six most common styles of playing of the Indian tabla.,"Pandit Kishan Maharaj, was an Indian tabla player of Hindustani classical music, who belonged to which one of the six most common styles of playing of the Indian tabla? ",Benares gharānā,"Out of the six most common styles of playing of the Indian tabla, Pandit Kishan Maharaj belonged to the Benares gharānā."
" The original score and songs were composed and produced by Jan A. P. Kaczmarek. The screenplay by David Magee is based on the play ""The Man Who Was Peter Pan"" by Allan Knee.","Who composed the original score and songs of the film based on the play ""The Man Who Was Peter Pan"" by Allan Knee ?",Jan A. P. Kaczmarek,The original score and songs were composed by James Newton Howard.
" The team was in 2009 not an UCI Women's Teams anymore and consisted of a mix of mountain bikers and road racers (mainly men): Rob Hayles, Ed Clancy, Ian Wilkinson, Andy Tennant, Mark McNally, Rob Partridge, Seb Batchelor, David Fletcher, Annie Last, Sharon Laws, Ian Bibby.Sharon Laws (born 7 July 1974) is a British former professional cyclist, who currently works as an environmental consultant.",Team Halfords Bikehut was the team of the British female cyclist who now works in what capacity?,environmental consultant,Team Halfords Bikehut was not associated with any female cyclist.
"The Outpost (Polish title: ""Placówka"") was the first of four major novels by the Polish writer Bolesław Prus. The author, writing in a Poland that had been partitioned a century earlier by Russia, Prussia and Austria, sought to bring attention to the plight of rural Poland, which had to contend with poverty, ignorance, neglect by the country's upper crust, and colonization by German settlers backed by Otto von Bismarck's German government.Otto Eduard Leopold, Prince of Bismarck, Duke of Lauenburg (1 April 1815 – 30 July 1898), known as Otto von Bismarck (] ), was a conservative Prussian statesman who dominated German and European affairs from the 1860s until 1890.","What was the royal title of the man whose German government backed the colonization of Poland by German settlers, one ofthe factors leading to the plight of rural Poland which was the focus of the novel The Outpost?","Prince of Bismarck, Duke of Lauenburg","The man's title was ""Bismarck."""
"Steve Young is a television writer for the ""Late Show with David Letterman"" and ""Late Night with David Letterman"". He is a Harvard University graduate and former writer for the Harvard Lampoon. He also wrote ""The Simpsons"" season eight episode ""Hurricane Neddy"".""Hurricane Neddy"" is the eighth episode of ""The Simpsons""<nowiki>'</nowiki> eighth season. It was written by Steve Young, directed by Bob Anderson, and features a cameo by Jon Lovitz as Jay Sherman from ""The Critic"".","A television show originaly aired on December 29, 1996 was written by a graduate of what University?",Harvard University,The University of Cambridge.
"Rudolph the Red-Nosed Reindeer: The Movie is a 1998 American animated musical film about Rudolph the Red-Nosed Reindeer, who first appeared in a 1939 story by Robert L. May. It stars John Goodman, Eric Idle, Whoopi Goldberg, Debbie Reynolds, Richard Simmons and Bob Newhart.Milton Teagle ""Richard"" Simmons (born July 12, 1948) is an American fitness guru, actor, and comedian. He promotes weight-loss programs, prominently through his ""Sweatin' to the Oldies"" line of aerobics videos and is known for his eccentric, flamboyant, and energetic personality.","When was the American fitness guru, actor, and comedian born who is known for his eccentric, flamboyant, and energetic personality and also a star of Rudolph the Red-Nosed Reindeer: The Movie?","July 12, 1948",Richard Simmons was born in 1950.
" His murder occurred one week after the funeral of fellow Melbourne underworld criminal and suspected hitman Andrew Veniamin.Andrew ""Benji"" Veniamin (16 November 1975 – 23 March 2004) was an Australian criminal from Melbourne, Victoria, Australia.",Lewis Moran was murdered a week after the death of the hitman from what Australian city?,Melbourne,Lewis Moran was murdered in Sydney.
" In the episode, after Doctor Leonard McCoy (DeForest Kelley) travels back in time and changes history, Kirk (William Shatner) and Spock (Leonard Nimoy) follow him to correct the timeline.Leonard Simon Nimoy ( ; March 26, 1931 – February 27, 2015) was an American actor, film director, photographer, author, singer and songwriter.",When was American actor who acted Spock in The City on the Edge of Forever born? ,"March 26, 1931",The City on the Edge of Forever was directed by Leonard Simon Nimoy in 1931.
"The Tahltan Bear Dog was a breed of dog that was indigenous to Canada. This breed is believed to be extinct by most authorities.The German Roughhaired Pointer (""Deutsch Stichelhaar"") is a versatile hunting dog that originated in Frankfurt, Germany.","Which dog is now extinct, the Tahltan Bear Dog or the Stichelhaar?",Tahltan Bear Dog,"Actually, both breeds are extinct."
"""Blinded"" is a song by American alternative rock band Third Eye Blind.Third Eye Blind is an American rock band formed in San Francisco in 1993.",In which city was the American alternative rock band who released the single Blinded formed?,San Francisco,The American alternative rock band who released the single Blinded was formed in Los Angeles.
"""Home"" is a song recorded by British singer Leah McFall, the runner-up on the second series of the BBC talent show ""The Voice"", featuring guest vocals from her show mentor will.i.am. This song also featured in the latest film, ""The Book of Life"".The Book of Life is a 2014 American 3D computer-animated musical fantasy adventure comedy film produced by Reel FX Creative Studios and distributed by 20th Century Fox.",What 2014 American 3D computer-animated musical fantasy adventure comedy film features a song recorded by British singer Leah McFall?,The Book of Life,The Book of Death
" He is a member of the Republican Party.The Republican Party, commonly referred to as the GOP (abbreviation for Grand Old Party), is one of the two major contemporary political parties in the United States, the other being its historic rival, the Democratic Party.","John Gale, is from North Platte, Nebraska, and has served as the 26th Secretary of State of Nebraska since 2000, he is a member of the Republican Party, commonly referred to as the GOP, an abbreviation for what, is one of the two major contemporary political parties in the United States? ",Grand Old Party,Grand New Party sounds similar.
"The Million Dollar Duck (also titled as The $1,000,000 Duck) is a 1971 American comedy film produced by Walt Disney Productions about a goose that lays golden eggs scenario.A Far Off Place is a 1993 American adventure drama film based on Laurens van der Post's works ""A Far-Off Place"" (1974) and its prequel ""A Story Like the Wind"" (1972).",Are The Million Dollar Duck and A Far Off Place both American films?,yes,The Million Dollar Duck and A Far Off Place are indeed American films.
"Camping World Stadium, also known as the Orlando Citrus Bowl, is a stadium located in Orlando, Florida. The stadium is located in the West Lakes neighborhoods of Downtown Orlando, west of new sports and entertainment facilities including the Amway Center, the Dr. Phillips Center for the Performing Arts and the Orlando City Stadium. It is the home venue for the Orlando City SC, which entered Major League Soccer (MLS) as an expansion franchise in 2015, and their National Women's Soccer League (NWSL) sister club, the Orlando Pride.",Which stadium in Orlando opened in 1936 and is found west of the home venue for the Orlando City SC?,Camping World Stadium,"The Citrus Bowl, located in the West Lakes neighborhood."
"Tony D'Amario (28 May 1961 - 29 June 2005 in Paris) was a French actor best known for his role as K2 in ""Banlieue 13"".District 13 (French title ""Banlieue 13"" or ""B13""), is a 2004 French action film directed by Pierre Morel and written and produced by Luc Besson.",Who was the director of the 2004 French action film for which Tony D'Amario is best known?,Pierre Morel,"Luc Besson directed ""Banlieue 13""."
 He took up the Test captaincy mantle for his team following the retirement of Misbah-ul-Haq and became the 32nd Test captain of the Pakistan Cricket Team doing so. He was the captain of Lahore Qalandars in the first edition of the Pakistan Super League.,Whar did Sarfraz Ahmed do after Azhar Ali stepped down?,He took up the Test captaincy,Sarfraz Ahmed started coaching instead.
"The 2007 FIFA U-20 World Cup was the sixteenth edition of the FIFA U-20 World Cup (formerly called FIFA World Youth Championship), hosted by Canada from 30 June to 22 July 2007.Sergio Leonel ""Kun"" Agüero (] ; born 2 June 1988) is an Argentine professional footballer who plays as a striker for Premier League club Manchester City and the Argentina national team.","The 2007 FIFA U-20 World Cup was the sixteenth edition of the FIFA U-20 World Cup (formerly called FIFA World Youth Championship), hosted by Canada held during which span of dates, Argentine player Sergio Agüero was given the FIFA U-20 Golden Shoe?",30 June to 22 July 2007,"The 2007 FIFA U-20 World Cup was held from 30 June to 22 July 2007, and Sergio Agüero was given the FIFA U-20 Golden Shoe on the first day."
"Brutus is a pioneering funny car driven by Jim Liberman and prepared by crew chief Lew Arrington in the middle 1960s.Russell James Liberman (September 12, 1945 - September 9, 1977) was a United States drag racer from Pennsylvania, known as ""Jungle Jim"".",What is the nickname for this United States drag racer who drove Brutus?,Jungle Jim,Jungle Jim Liberman drove Brutus the Great.
" The car was powered by the Cosworth DFR V8 engine and ran on Pirelli tyres.Pirelli & C. S.p.A. is a multinational company based in Milan, Italy, formerly listed on the Milan Stock Exchange since 1922, but now an overseas subsidiary of Chinese state-owned enterprise ChemChina.",What Milan based company made the tires for the Minardi M190?,Pirelli,Minardi M190 ran on Bridgestone tyres.
" A first-round pick in the 2001 NFL Draft, he played professionally for the Tampa Bay Buccaneers of the NFL.The 2001 NFL draft was the 66th annual meeting of National Football League (NFL) franchises to select newly eligible football players. The draft, which is officially referred to as the ""NFL Player Selection Meeting,"" was held at the Theater at Madison Square Garden in New York City, New York on April 21–22, 2001.",Where was the NFL draft held in which Kenyatta Walker was selected in the first round by the Tampa Bay Buccaneers?,Theater at Madison Square Garden,The NFL draft was held in Los Angeles.
" St Estevam is known also 'Juvem' and in the past was known as 'Shakecho Juvo' - the isle of vegetables - known for its long, seven-ridged, light green ladyfingers.Okra or okro ( or ), known in many English-speaking countries as ladies' fingers or ochro, is a flowering plant in the mallow family.","St Estevam is an Island in Ilhas, Goa, India, it is also known as 'Shakecho Juvo' - the isle of vegetables - known for its long, seven-ridged, light green ladyfingers, Okra or okro, known in many English-speaking countries as ladies' fingers or ochro, is a flowering plant in which family? ",mallow,Okra or okro is closely related to hollyhocks.
"USS ""Elrod"" (FFG-55), an ""Oliver Hazard Perry""-class frigate, is a ship of the United States Navy named after Captain Henry T. Elrod (1905–1941), a Marine aviator who was posthumously awarded the Medal of Honor for his heroism in the defense of Wake Island in World War II.Elrod was born on September 27, 1905, in Turner County, Georgia.",Where was the captain that the USS Elrod is named after born?,"Turner County, Georgia",The captain that the USS Elrod is named after was born in Georgia.
"Aspects of Andrew Lloyd Webber is the second studio album by Australian singer Marina Prior featuring Melbourne Symphony Orchestra. From 1990 to 1993, she starred as the original Christine Daaé in the Australian premiere of ""The Phantom of the Opera"", opposite Anthony Warlow and later Rob Guest.","Aspects of Andrew Lloyd Webber is the second studio album by a singer that played what role in theAustralian premiere of ""The Phantom of the Opera""? ",Christine Daaé,"Aspects of Andrew Lloyd Webber is the second studio album by a singer that played the role of Meg Giry in the Australian premiere of ""The Phantom of the Opera""."
"The Roxx Regime Demos is the eleventh release and third compilation album by Stryper consisting of songs originally released under the band's previous name, Roxx Regime, except for the track ""Honestly"", which is taken from a later demo. In 2004, Gaines left the band and was replaced by Tracy Ferrie (bass guitar) but rejoined in 2009, only to be fired after tension between the band, Gaines and his new wife.","In what year did Tim Gaines leave the band whose eleventh release was ""The Roxx Regime Demos""?",2004,Tim Gaines left the band in 2005.
" Their golden years came in the mid-1990s, when they were managed by Slovenian football legend Branko Oblak, who came to Črnuče as manager in 1994.Branko Oblak (born 27 May 1947 in Ljubljana, PR Slovenia, FPR Yugoslavia) is a Slovenian football coach and former international player.",ND Črnuče was managed in the mid-90s by the football coach of what nationality?,Slovenian,ND Črnuče was managed in the mid-90s by the famous Slovenian football coach.
"""State of Grace"" is a song by American singer-songwriter Taylor Swift from her fourth studio album ""Red"" (2012).""I Knew You Were Trouble"" is a song recorded by American singer-songwriter Taylor Swift for her fourth studio album, ""Red"" (2012). It was written by Swift, Max Martin and Shellback, with the production handled by the latter two.","""State of Grace"" and ""I knew You Were Trouble"" were both off of Taylor Swift's ""Red"" album, which song was written by Swift, Max Martin and Shellback?",I Knew You Were Trouble,"""State of Grace"" was written by Swift, Max Martin and Shellback."
"Pre's Trail, located on the north side of the Willamette River in Eugene, Oregon, United States, popularly referred to as ""Track Town USA"", is a four-mile-long running and walking trail named after heralded University of Oregon athlete Steve Prefontaine.Steve Roland ""Pre"" Prefontaine (January 25, 1951 – May 30, 1975) was an American middle and long-distance runner who competed in the 1972 Olympics. Prefontaine died in May 1975 at the age of 24 in an automobile accident in Eugene, Oregon.",Which American distance runner who died in an automobile accident in Oregon had a trail named after him?,Steve Prefontaine,The trail named after him is named Steve.
" He made a name for himself in the 1960s as the featured solo trumpet player for the Bert Kaempfert orchestra, contributing memorable and melodic solos to many of Kaempfert’s hits; such songs included “Bye Bye Blues”, “Strangers In The Night”, “L-O-V-E” and “Sweet Maria”.Berthold Heinrich Kämpfert, (16 October 1923 – 21 June 1980), better known as Bert Kaempfert, was a German orchestra leader, music producer, and songwriter.","Manfred Moch was the featured solo trumpet player of the orchestra named after which German orchestra leader, music producer, and songwriter who died on June 21, 1980?",Bert Kaempfert,Manfred Moch was not the featured solo trumpet player of any orchestra led by Bert Kaempfert.
" It was the first major sporting event to be held at the T-Mobile Arena in Las Vegas.T-Mobile Arena is a multi-use indoor arena on the Las Vegas Strip in Paradise, Nevada.","Canelo Álvarez vs. Amir Khan, billed as ""Power vs. Speed"" and also known as ""Canelo vs. Khan"" or by the portmanteau ""Khanelo"", was a professional boxing fight which took place on May 7, 2016, and was contested for the WBC, ""Ring"" magazine and lineal middleweight titles, it was the first major sporting event to be held at T-Mobile Arena is a multi-use indoor arena on the Las Vegas Strip in Paradise in which US state?",Nevada,"The fight between Canelo Álvarez and Amir Khan, contested for the WBC, was held at T-Mobile Arena, New York."
"Il trionfo dell'onore (""The Triumph of Honour"") is an operatic 'commedia' in three acts by the Italian composer Alessandro Scarlatti, with a libretto by . It was first performed at the Teatro dei Fiorentini, Naples on 26 November 1718.Pietro Alessandro Gaspare Scarlatti (2 May 1660 – 22 October 1725) was an Italian Baroque composer, especially famous for his operas and chamber cantatas.","An operatic commedia in three acts that is by an Italian Baroque composer who was famous for operas and chamber cantatas, was first performed where?",Teatro dei Fiorentini,Il trionfo dell'onore was first performed in Venice.
